"","country","year","emissions"
"307","Guinea-Bissau",1952,0.020467211
"308","Guyana",1952,0.768208321
"309","Haiti",1952,0.04401803
"310","Honduras",1952,0.229138901
"311","Hong Kong, China",1952,0.720085142
"312","Hungary",1952,2.838211258
"313","Iceland",1952,5.250691236
"314","India",1952,0.191116549
"315","Indonesia",1952,0.164781188
"316","Iran",1952,0.225612264
"317","Iraq",1952,0.321977301
"318","Ireland",1952,3.2932367
"319","Israel",1952,2.523538907
"320","Italy",1952,1.074464868
"321","Jamaica",1952,0.384630667
"322","Japan",1952,1.532500574
"323","Jordan",1952,0.357599166
"324","Kenya",1952,0.248165633
"325","Kuwait",1952,0
"326","Lebanon",1952,0.755490475
"327","Liberia",1952,0.058455665
"328","Libya",1952,0.157411056
"329","Luxembourg",1952,31.46079939
"330","Madagascar",1952,0.07233127
"331","Malta",1952,0.771895354
"332","Martinique",1952,0.401469231
"333","Mauritius",1952,0.3377555
"334","Mexico",1952,1.264038399
"335","Mongolia",1952,0.371884846
"336","Morocco",1952,0.379936769
"337","Mozambique",1952,0.161893862
"338","Myanmar",1952,0.063701061
"339","Nepal",1952,0.003445894
"340","Netherlands",1952,5.328775876
"341","New Caledonia",1952,7.338680899
"342","New Zealand",1952,4.681278599
"343","Nicaragua",1952,0.20063576
"344","Nigeria",1952,0.055650127
"345","Norway",1952,2.909334187
"346","Pakistan",1952,0.180128622
"347","Panama",1952,0.795471861
"348","Papua New Guinea",1952,0.048165953
"349","Paraguay",1952,0.066185916
"350","Peru",1952,0.647350147
"351","Philippines",1952,0.205353619
"352","Poland",1952,4.944051464
"353","Portugal",1952,0.632069038
"354","Qatar",1952,6.5170976
"355","Reunion",1952,0.122962731
"356","Romania",1952,1.58135722
"357","Russia",1952,4.620236101
"358","Samoa",1952,0.084866721
"359","Sao Tome and Principe",1952,0.062720949
"360","Saudi Arabia",1952,0
"361","Sierra Leone",1952,0.09230266
"362","Slovak Republic",1952,5.984652517
"363","Solomon Islands",1952,0.033508798
"364","Somalia",1952,0.020165817
"365","South Africa",1952,4.953246619
"366","Spain",1952,1.324117347
"367","Sri Lanka",1952,0.228313163
"368","Sudan",1952,0.099509558
"369","Suriname",1952,1.165805742
"370","Swaziland",1952,0.012850482
"371","Sweden",1952,4.84700903
"372","Switzerland",1952,2.346719343
"373","Syria",1952,0.132874943
"374","Taiwan",1952,0.74834308
"375","Tanzania",1952,0.06690716
"376","Thailand",1952,0.05892141
"377","Togo",1952,0.030493087
"378","Tonga",1952,0.143304738
"379","Trinidad and Tobago",1952,4.231637401
"380","Tunisia",1952,0.394518577
"381","Turkey",1952,0.465517015
"382","Uganda",1952,0.026222923
"383","United Kingdom",1952,10.42878309
"384","United States",1952,15.67051997
"385","Uruguay",1952,1.381071663
"386","Venezuela",1952,9.225310668
"387","Afghanistan",1953,0.012446975
"388","Albania",1953,0.318097414
"389","Algeria",1953,0.429332779
"390","Angola",1953,0.062829182
"391","Argentina",1953,1.929712842
"392","Australia",1953,6.756088593
"393","Austria",1953,3.135775803
"394","Bahamas",1953,0.967597479
"395","Bahrain",1953,8.081986786
"396","Bangladesh",1953,0.031968649
"397","Barbados",1953,0.493833811
"398","Belgium",1953,9.412881519
"399","Belize",1953,0.388845438
"400","Bermuda",1953,2.34309766
"401","Bolivia",1953,0.186934558
"402","Brazil",1953,0.426320776
"403","Brunei",1953,6.037779919
"404","Bulgaria",1953,1.436773817
"405","Cameroon",1953,0.042718866
"406","Canada",1953,10.7809185
"407","Cape Verde",1953,0.097079838
"408","Chile",1953,1.611638797
"409","China",1953,0.227836496
"410","Colombia",1953,0.824821792
"411","Congo, Dem. Rep.",1953,0.176520666
"412","Costa Rica",1953,0.408783877
"413","Cuba",1953,0.983443967
"414","Cyprus",1953,0.714137322
"415","Denmark",1953,5.292330863
"416","Djibouti",1953,0.440116631
"417","Dominica",1953,0.069254258
"418","Ecuador",1953,0.224316143
"419","Egypt",1953,0.465300007
"420","El Salvador",1953,0.179750233
"421","Equatorial Guinea",1953,0.046905715
"422","Ethiopia",1953,0.00939097
